,ANXA1,ANXA2,APAF1,ARID1A,ATM,BAP1,CASP2,CDKN2A,CRADD,CRYAB,DNMT1,DNMT3A,EPAS1,ERBB2,ERN1,FLT1,FLT4,GSTP1,HNF1A,HSPA9,HSPB1,HSPD1,IGF1R,IL6,IL6R,KDR,LRRK2,MAPK8,MTOR,MYC,NDRG1,NF2,PAK1,PIK3CA,PTEN,PTGS1,PTGS2,RELA,RNF139,SETD2,SLC2A1,SOD2,TGM2,TP53,TSC1,TSC2,VEGFA,VHL,Y
0,33.86800136,37.39663755,32.66876907,33.84802607,35.94242939,33.67729431,33.68901476,33.32938203,34.2004,39.95791,35.1514,31.75476,37.95811,35.32243,31.62996,33.69326,30.79376,36.48088,33.7733,37.28617,38.25591,37.02204,36.19656,29.74353,35.56127,32.51308,33.31355,32.64741,33.01718,33.16037,40.63163,33.9608,34.43928,32.42544,36.73944,35.3243,31.08504,33.09884,32.46554,32.58565,33.38586,38.67433,38.50142,33.83518,32.93402,34.9352,37.79678,32.30615,1
1,35.08543403,36.57067128,32.3374933,33.84351312,35.98822522,32.64314903,33.94681232,32.50379061,33.33414,39.7685,34.78386,32.83981,38.83281,33.71706,33.64843,35.56873,33.38444,36.21403,31.93413,37.70072,37.41814,36.4892,35.16447,24.29608,34.27496,34.15721,34.56644,34.04178,33.17883,32.99406,39.95111,33.69899,33.95625,33.21465,37.13114,31.12693,30.16993,33.06941,32.2719,33.19915,33.69538,38.64559,34.33752,34.4481,33.1663,35.08304,40.09193,32.19988,1
2,34.90837203,38.44301987,31.81819796,33.51600486,36.19358742,32.36886592,33.75281477,32.56181243,31.15063,40.93124,34.97395,32.26242,37.19345,33.38917,33.2433,34.21918,33.3467,35.34069,24.53069,37.00237,37.94992,36.51745,33.52111,33.97471,33.54944,32.35059,33.71481,33.45663,34.06093,33.08598,39.71223,34.07472,33.80051,32.46705,37.91878,30.23195,30.76766,33.64965,32.55514,32.84628,36.23588,40.50559,35.50178,35.4198,33.63282,34.79244,38.22308,31.49147,1
3,36.2901236,37.24482881,32.60129346,34.19769825,36.57834764,31.89539977,34.06433175,30.36888918,32.93107,40.02236,35.07183,32.64948,39.46713,33.2234,32.54087,36.25593,34.21029,35.36208,30.54264,37.00455,37.8679,37.13423,36.29789,31.49884,33.95223,34.62939,33.85065,33.49951,33.50445,33.52129,39.71355,33.14612,34.5325,33.87549,37.77827,33.44328,30.54053,33.14439,33.19823,33.68316,34.41938,38.99231,35.77236,34.18862,32.8825,35.02014,39.94908,32.11538,0
4,36.86327245,36.87169298,33.59312094,33.35146049,36.80749673,33.96834807,33.50118384,24.50161888,33.49363,38.83921,35.23627,33.75096,38.49884,33.40876,31.19462,35.39769,34.92401,34.26885,30.46161,36.30264,35.26187,36.15876,36.25647,33.92214,32.27378,33.37223,33.44297,31.96469,34.22502,32.21904,38.62867,32.58079,34.23407,34.24976,37.99008,31.18348,30.95478,32.91133,30.89813,34.63036,34.59911,38.41437,33.47112,34.91241,33.44515,35.0131,39.31564,33.33646,1
5,36.03475587,37.63746157,32.17143266,34.10911272,36.40182607,33.65253266,33.73910308,30.96071885,32.48971,39.65399,35.58416,32.37386,37.78717,31.56564,32.29941,34.76753,32.19088,35.45477,26.13639,36.9789,37.34454,35.93764,35.37204,32.79016,34.33142,33.0823,34.42348,32.45859,33.6943,33.36477,38.5392,34.48873,33.06776,32.89598,37.35848,30.41331,31.91172,33.85039,33.57671,33.44016,34.82122,38.37018,35.95382,32.1613,32.87762,34.58115,38.93158,32.85442,1
6,34.50312922,36.78515178,32.49340557,33.2711502,35.59938644,32.63333485,34.16420989,32.0583251,32.75307,39.48698,34.81874,32.49858,37.26115,33.86934,31.61393,34.4593,31.32755,33.77116,33.18505,37.43243,38.47296,36.93566,36.07102,28.13497,33.47788,33.14061,35.77927,33.49566,33.4104,32.98313,40.04039,33.95985,33.46943,33.09348,35.90397,31.2219,30.24731,33.27512,32.97635,33.03294,32.74636,36.82956,33.97099,35.48656,34.09818,35.03263,38.05805,31.61337,0
7,34.66747289,35.54043703,33.70161333,33.53933229,36.58622049,32.84343927,34.2405017,31.64530994,31.5137,39.63255,35.04998,32.54677,36.84683,33.54593,32.74372,34.23659,34.62573,36.71615,33.05918,36.7396,36.69292,37.13487,35.39824,31.54105,31.83669,32.93529,35.48348,33.0579,33.66749,33.203,39.05777,34.45946,32.87712,33.12491,36.2205,33.41781,31.72698,33.14299,31.99291,33.15593,30.31758,38.46245,36.33947,33.55736,33.38182,35.44935,37.81097,31.10226,0
8,35.62773457,37.04481362,32.97588025,33.52393728,36.39940904,32.6601447,33.81738701,31.81478629,33.12976,37.9202,33.89472,32.27484,39.13267,34.12366,32.98989,35.37608,33.84863,35.07026,32.70914,35.79775,36.53736,35.80065,35.40077,29.57764,33.60468,34.0082,34.58516,33.69437,33.70979,31.75549,39.80144,33.40467,34.53582,33.18371,36.99773,34.08118,29.70497,33.09857,33.13805,33.27641,33.88149,39.27165,34.75243,33.9354,33.36926,35.11777,39.3348,32.53684,1
9,34.97468732,37.45483749,32.78962279,34.01346589,35.64113842,33.61841147,33.61293806,32.24185039,32.91937,39.11814,35.1374,32.54259,38.05661,33.37722,33.28534,34.50873,32.02915,36.02627,34.10142,36.57845,39.12981,35.60927,34.40398,29.86637,33.44605,32.15194,35.2199,32.06324,33.08193,32.34266,40.98348,33.05416,33.27939,32.33381,34.72746,32.93919,31.08041,33.70842,31.84626,32.91771,35.78629,36.73066,36.90815,34.40646,33.0913,34.88229,38.63166,30.84539,1
10,35.22726897,37.02080643,32.4326535,34.24280857,35.57375747,33.03183581,34.20659945,31.22993976,32.44239,39.60046,35.57285,32.36548,38.48123,33.48126,32.63647,35.46682,33.81109,35.79279,32.88321,37.0641,37.69029,36.74479,35.43787,30.78458,33.76632,34.85415,33.30618,33.10597,33.77177,34.31816,41.20784,33.77528,33.81536,32.60585,36.04017,31.7884,31.32386,33.55353,31.99236,33.26321,34.17897,38.43426,35.97245,34.41617,33.30005,35.03496,39.95004,32.4506,0
11,34.8544538,35.86010973,32.83681971,33.52256952,36.11240334,33.2581978,33.5991476,30.47041274,32.60698,38.07001,35.41438,31.66646,38.39817,33.9892,32.91189,36.3011,33.54799,35.86359,32.52287,37.18929,36.60885,36.30542,35.31371,30.33543,33.24272,34.47876,35.08792,33.82536,33.04822,31.88611,39.97573,33.79103,34.68111,33.50775,37.08172,31.2805,29.49923,33.44363,33.4261,33.01455,33.47634,37.32877,36.25752,35.30738,33.69206,35.01952,40.20794,31.51755,0
12,35.519729,35.81796505,32.64465831,32.83538589,35.7928831,33.22810975,33.82632046,33.03034281,33.33928,37.57941,34.33559,31.53637,38.34336,34.00777,32.76045,35.42599,33.97895,33.34491,33.44202,35.72856,37.62178,35.47637,36.19678,24.29608,33.8739,33.83868,36.16197,32.10933,33.68132,31.79874,39.27843,34.68184,34.59283,34.01172,36.26808,29.18241,22.9987,32.75696,32.26933,33.06538,31.36482,36.19157,33.44282,33.58405,33.84394,35.22366,39.58587,31.13415,0
13,35.20833131,36.42638182,32.22548727,34.26168517,36.20127841,33.552945,31.83167549,32.3295452,34.03355,37.02536,35.27352,31.75945,38.16606,35.05589,33.27003,35.23531,34.87075,35.61979,33.4374,35.59099,36.73836,34.21244,35.35418,24.29608,35.38751,32.95201,35.19665,32.93581,33.36477,32.194,37.89529,33.44291,32.98007,30.55041,35.61627,32.33609,29.14221,33.50079,31.09517,33.91596,33.65699,36.68269,34.67679,31.99556,33.25188,36.64412,39.35593,32.75366,0
14,33.68697751,35.26911945,33.47131782,34.44153036,36.24531286,33.69244186,33.83004759,31.06108917,32.83479,38.45204,35.54378,32.80831,36.67863,34.66193,33.63076,33.27533,32.6584,34.3218,30.90726,35.22344,38.17091,35.33533,35.06223,30.36969,33.46449,30.80958,34.71795,32.13119,33.15707,34.14157,38.41989,34.71096,33.59623,32.48719,35.8713,32.78425,29.35797,34.19903,31.15776,33.6024,34.61899,37.9372,37.43273,33.20506,33.32503,36.30593,39.66038,32.65044,0
15,35.64378275,36.07889749,33.88750854,34.37116704,36.06760764,33.52923201,33.17273866,32.48976994,33.05087,35.82328,35.87011,33.45416,39.15707,32.14913,33.87008,36.05045,34.62999,34.81481,31.41495,35.4051,36.85293,35.88626,35.40878,32.50609,35.31414,33.08844,32.66836,33.31685,33.6956,35.27981,38.93303,33.22412,33.39767,32.90838,35.5696,33.42,29.85159,33.91135,31.30737,34.11172,34.13879,37.72707,35.57365,33.18497,33.55346,35.57495,40.51132,32.45489,0
16,36.02532768,38.32695844,33.02184992,34.73080433,35.74189515,33.43930867,34.75791608,33.14756501,31.33257,37.96837,35.29405,32.62011,37.99765,34.47116,32.61279,34.05196,33.48843,35.94778,31.71124,35.36975,37.6918,35.81117,34.61594,33.27356,33.24154,33.0581,33.76909,33.79137,33.87162,33.60973,38.81561,33.78669,33.78745,32.82392,35.78921,31.02406,32.3136,33.57082,32.26966,32.97572,35.19849,39.45764,36.77512,35.35686,31.58024,35.19005,39.18448,32.03593,0
17,35.52394942,36.42990293,33.0052526,34.2312192,35.9476452,33.376406,33.88313664,32.43432854,33.18919,38.96138,35.93897,33.14927,37.16011,33.89564,32.77211,33.82166,32.92596,34.8458,32.35914,36.09284,37.88665,35.69785,35.38276,31.68836,32.53037,32.66587,34.40625,33.15169,33.13449,33.17902,40.22741,32.94832,33.87667,32.68384,35.73359,31.68284,32.29211,33.11172,31.42432,33.63096,35.0463,38.65403,38.04989,35.19154,32.69427,35.79157,38.08505,30.92365,0
18,35.44781989,36.32552553,33.08642492,33.77368633,36.86543364,32.49690704,34.26024381,32.12117639,32.7203,37.71319,35.63974,33.68477,37.55787,32.95287,33.17289,35.75233,33.82036,35.30876,30.44335,35.41486,36.83742,35.25219,34.8754,32.10011,32.5408,33.59784,34.77985,32.00313,33.7741,30.91567,39.00264,33.06301,33.8191,32.37149,35.24093,31.64866,31.41232,32.46297,32.46267,33.87324,33.39639,36.67589,36.1309,32.90625,33.70015,34.96731,39.45942,31.74634,1
19,36.38558077,37.28881313,32.95501102,34.36873692,36.03547076,33.22626382,33.74772647,31.25733707,31.60332,37.48979,36.36011,32.0741,37.93249,32.74769,32.53925,33.94696,32.65215,35.38751,28.59836,36.19588,37.08291,35.9702,34.08324,32.08382,33.50213,33.20379,33.2633,33.65316,34.40276,32.94268,35.81276,35.29129,34.12416,33.27565,37.0071,31.91226,31.9231,32.6709,32.81773,33.66827,32.03414,36.50267,36.10699,33.50537,33.4082,34.95102,35.36697,32.89678,0
20,37.35847941,38.57820759,32.5476053,34.35690807,35.31571305,32.38072384,34.30889609,30.99344346,32.75919,36.1858,35.46867,33.4424,36.31018,33.72511,32.89662,30.29665,29.344,37.05651,26.04978,36.5268,37.91671,37.02668,36.14442,31.33716,33.12836,28.27757,31.20346,32.15013,33.14262,33.60682,40.59969,33.03855,33.45814,32.42398,36.09633,30.14235,31.26332,34.34286,32.0561,34.14218,37.38279,35.50802,36.46737,34.73591,33.27613,35.22188,37.76296,32.64736,1
21,35.56529554,37.62636957,32.75499698,33.2961977,36.10040351,32.73490529,31.96432776,31.95792852,32.53394,39.30755,35.70979,31.97225,37.82743,32.40563,33.19844,35.22596,30.8499,34.68745,32.26175,37.33127,36.782,36.34248,34.7016,33.04247,31.55123,33.16026,34.87205,32.09565,32.64441,32.93077,39.29835,34.42555,34.06981,33.03055,36.58067,30.93807,32.34541,33.07637,32.0086,32.89062,34.55874,39.73582,35.98337,34.4433,34.03645,35.70448,39.28753,32.61222,1
22,34.31636082,37.3002142,33.06553176,34.1001631,35.67324164,34.2082506,34.15584512,32.06002299,34.70269,39.80138,34.38091,31.97781,38.2906,34.48587,32.82509,33.89416,32.03804,36.53081,33.97418,36.59435,39.13465,37.16266,36.43825,28.26596,33.85156,30.49993,34.97639,32.13727,32.74635,32.85524,39.98079,34.03796,34.13755,32.72122,35.14085,31.55505,30.93453,33.91114,31.95994,32.74779,35.4391,39.3764,36.5677,34.56879,32.99361,35.30795,39.55848,32.12949,1
23,37.327964,37.6027561,32.72004705,34.08150478,35.25027246,33.59551682,34.38266092,32.47968988,32.88005,39.72165,35.92578,32.09653,38.0228,32.09354,32.84401,34.4545,33.37219,36.11718,31.17866,37.45554,38.24236,36.09756,35.40033,34.54201,34.12922,33.62141,33.06781,33.19773,33.90466,33.99635,40.55833,33.30063,33.92979,32.56972,35.98864,32.12051,33.02151,33.47264,32.05511,33.14098,35.95192,37.56299,35.03114,33.6812,32.89121,35.14331,38.93485,32.03143,0
24,35.73295578,37.49449955,33.35208964,33.62891907,37.60053307,32.74452131,34.33839409,33.11331449,29.02246,35.3068,37.14926,31.40684,35.66616,33.45492,34.69537,33.82852,32.59135,34.27804,26.83828,37.69938,35.45598,36.55662,34.62546,32.50834,33.86017,33.83008,35.75963,34.90624,33.50727,32.08543,37.66261,33.95919,35.37664,34.5593,36.17544,32.32693,27.95526,33.58672,32.51403,33.93477,34.05934,39.44401,35.89599,35.33226,32.66428,35.75997,37.49879,33.92074,1
25,35.08262846,37.72577194,31.76018756,33.64217926,35.03192831,32.71060828,33.16724301,30.40249947,33.70983,39.42113,34.88536,32.36335,38.07107,33.25974,33.74237,34.52859,33.02525,33.79311,32.68953,36.65042,37.7489,35.20556,35.7417,33.20111,34.21258,33.04046,32.40639,33.3978,32.98304,32.66842,39.82679,33.34139,34.35955,32.91759,36.85031,33.59395,32.24754,34.3038,31.00062,33.12842,35.20717,39.0166,36.45644,35.21132,32.17923,35.52023,38.92869,31.39375,0
26,36.22331956,37.91553812,34.18598081,33.51771546,36.20924656,32.2240865,34.31523879,32.78293767,33.11453,40.87508,34.10868,31.8258,37.26878,33.13265,33.42123,34.75049,32.1993,34.93691,32.44074,37.36243,38.93311,36.60154,35.19112,26.45394,33.6796,32.3618,35.1032,33.00956,33.6217,32.19594,40.49306,33.39728,34.36007,33.2255,37.02355,32.38634,29.05276,32.8455,34.02099,32.52339,33.06049,38.55076,36.98851,33.90713,31.39947,35.42548,38.88476,31.32365,1
27,35.84392433,36.76741746,31.69616737,34.04327284,36.28491755,33.23384051,35.12352762,31.92511195,34.39134,38.16627,35.65341,32.19393,39.31331,34.53039,31.29305,35.78608,34.60342,35.78801,31.37233,36.5449,37.21911,36.38217,36.08776,31.91482,32.84402,33.97943,34.61954,33.56019,33.97665,35.51348,39.18754,34.56479,34.43691,33.09261,36.77963,32.67024,32.92765,34.03135,32.06894,33.16204,34.24951,38.08069,36.63381,33.89237,33.85497,35.86151,40.9044,32.36932,0
28,35.8453181,35.69223587,32.90764023,33.96020862,37.01765579,33.68443072,34.69151105,31.22596627,32.33772,35.07351,36.53583,32.39876,37.72016,32.39182,33.0985,35.51887,32.67079,36.1424,33.13972,35.80999,36.58153,36.40897,34.63752,24.29608,32.14541,34.04435,35.01898,32.46885,34.19899,32.61681,38.48677,34.30464,34.63093,34.60932,36.16043,31.38234,28.48728,31.78239,32.46247,34.15359,31.77207,37.68494,34.52512,33.90675,32.31233,34.75589,40.05177,33.07403,0
29,36.0894615,36.87297383,33.0531755,34.07987918,35.82717378,33.49284232,32.86464264,30.73481171,31.59023,37.50887,35.16991,32.27136,37.91654,33.89563,34.45638,34.32892,33.55718,35.5893,30.20185,36.38642,37.5163,35.69157,35.57575,30.78242,32.61549,32.65981,33.89357,33.62352,34.22337,33.88464,37.9511,33.83947,33.2432,33.23847,35.71361,33.1057,31.63241,33.99434,31.63059,33.77916,33.32342,36.64623,36.38101,35.6213,32.72354,35.1555,39.73532,32.26444,0
30,35.22896625,37.81693166,33.64440839,33.81854681,36.4251727,32.89257041,34.23868963,32.62155005,32.60827,39.23526,35.91488,32.38434,37.06045,33.81135,33.56034,34.56203,30.83713,35.29076,31.8522,37.23182,37.56756,36.92248,33.8074,30.50102,33.86307,33.00741,34.83709,33.79979,33.24428,33.19115,39.79833,32.99015,34.42196,33.11406,36.97114,32.22794,29.33154,32.70856,32.84129,33.33105,32.85885,38.72241,36.27262,34.77403,32.89436,34.89663,38.41022,32.18444,0
31,35.02829436,36.82228054,32.13744576,34.05896209,35.51042474,33.92418113,34.36685642,29.08671965,32.17229,36.7913,34.8964,33.68269,38.88147,34.29627,31.83889,35.09152,31.56358,36.2924,30.95607,35.81358,37.80952,36.43979,36.37383,33.31571,30.87509,32.79005,33.80742,32.91157,33.45795,33.57261,40.77444,32.42807,34.62536,32.44021,35.27228,32.84234,33.70217,33.28523,31.26782,33.39691,34.94231,37.57024,34.99056,36.5513,33.38167,36.15458,40.79282,29.55647,1
32,34.91406276,36.66179523,32.69047766,34.33464031,35.4191848,33.48215132,34.47414012,33.51038672,31.79446,37.20212,34.86426,32.50927,36.74275,34.74669,31.8926,32.66427,32.35898,36.76224,32.61244,35.81361,37.60916,35.87817,35.113,30.40736,33.77221,30.93373,34.19843,32.40612,33.79023,32.69023,38.22338,34.14983,33.06661,33.03581,36.49972,32.76065,30.05611,33.92521,32.33853,32.90743,33.29177,37.69522,36.61159,33.46325,32.70867,35.57148,36.67216,32.07804,0
33,36.35910498,36.08380318,32.95241358,33.91170624,36.18760125,32.49201018,33.52076527,30.86067217,31.89353,38.13136,34.84212,33.40463,37.95201,32.47482,31.46279,35.11247,33.27057,35.74118,33.027,37.26893,37.46501,36.04547,34.08291,30.94604,33.77733,33.10378,35.128,33.37871,32.43436,34.21427,40.04164,33.34783,34.54315,33.49249,36.89801,34.06043,31.84872,33.40941,33.64744,33.43511,34.0561,38.5424,33.24322,35.62678,33.39661,34.82624,39.98429,32.19045,0
34,35.33480239,38.68696142,33.08146906,33.31112796,34.58048162,33.38601925,33.35434245,24.50161888,33.38527,40.05105,36.28878,32.07157,37.04465,33.84459,30.91528,34.50498,31.71483,36.28965,31.80034,37.34196,38.08506,37.52539,34.28755,32.2074,32.67909,32.92881,34.81969,33.99083,32.87964,33.19069,38.52023,33.93609,35.19004,33.32984,37.58374,31.5936,32.56198,33.16559,33.5604,32.97898,34.67576,40.2601,35.01177,34.34409,31.78938,34.2,38.33288,31.0072,0
35,36.28398903,37.5994101,32.15053755,34.05614214,35.6265055,33.16089491,33.87841007,32.01758954,31.76622,40.6941,35.55839,31.92949,38.31093,33.46668,31.92583,35.36277,33.22002,36.17764,31.39331,37.25569,38.21896,35.78074,36.09634,34.48801,32.74992,33.15278,34.21029,33.8527,33.68001,32.8936,39.7003,33.92941,34.63602,33.68339,36.6287,32.04671,31.09901,33.02478,31.83364,33.00757,35.18912,39.16216,35.65874,34.66919,32.72168,34.90889,39.27414,31.90031,1
36,35.26074962,38.06750916,33.45804675,34.9537067,36.47688371,32.87289636,33.11235905,32.875043,33.22833,35.53574,35.60879,31.20097,38.49299,30.70377,31.30694,34.90519,32.7408,35.21012,25.25893,36.83349,37.99049,35.942,36.39583,33.346,33.24461,33.11619,34.13916,32.76571,33.72647,33.9016,40.53389,33.90075,31.69179,32.70673,37.1101,35.15486,33.98265,33.00066,33.21646,33.22673,35.75184,37.47927,36.85929,33.48096,33.53046,34.51236,40.76846,31.35354,1
37,33.72002739,35.21316925,33.27913096,34.20825978,37.70359131,33.0926036,33.06612788,30.44942068,31.82783,38.05395,36.23234,33.17903,38.30625,33.26534,31.87291,35.47084,33.89036,36.35967,32.16523,37.24318,37.76111,36.71159,36.16729,32.13692,33.80535,33.11952,35.24868,33.07517,32.98039,33.78992,40.2016,33.59144,34.93133,32.50788,37.6299,31.6295,32.45242,34.04913,32.37365,33.51507,33.90722,36.88568,33.22821,34.35794,33.33124,35.96253,40.72336,30.8842,1
38,35.95639969,37.73321729,32.84486986,33.12652983,36.10116953,30.62522282,34.02555005,31.16182149,33.84377,38.52717,34.45764,32.96437,37.93276,32.8475,32.51075,35.3531,32.75802,35.89483,32.76014,36.98516,37.93825,36.10208,34.70887,33.31508,32.85328,33.41428,34.33118,33.04684,32.63446,32.74483,40.3062,33.25872,34.30773,33.14868,36.26911,30.41463,32.5938,32.92397,32.49066,33.25497,34.99934,37.49115,36.39832,35.88948,32.73166,33.80004,40.71375,31.17131,1
39,36.15975554,36.33479448,33.37719079,33.02667405,36.10470919,33.06658648,34.39586328,32.40284637,32.16536,36.56236,35.43402,31.86957,37.57839,33.06746,32.81039,35.35707,33.01597,35.58861,32.2203,36.23594,37.4925,35.35656,34.20896,29.45396,33.70438,33.8229,34.19548,33.14815,33.589,32.70099,39.96953,34.18658,33.25914,32.9767,36.85926,30.56451,30.44623,32.86075,33.5531,32.97091,33.9383,36.14906,34.77159,33.06034,32.87974,35.14273,39.17223,32.3053,1
40,36.29966038,37.75908073,32.93078448,34.45945238,35.50924774,32.57990639,34.42109556,24.50161888,32.8253,39.55825,35.05612,32.93657,35.23492,35.68377,29.91295,31.04415,31.05363,36.32542,34.21525,36.39782,38.63554,38.02708,35.86494,24.29608,32.08242,28.56669,37.22952,31.83553,33.30874,32.75363,36.11471,34.84638,33.19528,32.81433,37.70073,24.29711,28.73119,33.00013,32.90856,33.52124,30.85643,35.89994,34.01602,34.61866,33.07849,35.34515,34.98679,30.89403,0
41,36.37849358,37.38323778,33.07682283,34.12878827,36.63692229,32.50566564,33.37770532,31.29942329,32.61864,39.37065,36.47745,31.52846,38.4452,33.48815,32.96142,35.37193,33.43545,35.51222,30.97334,37.30357,37.87147,37.10294,36.43154,31.81679,32.68186,32.87352,33.6148,34.82685,33.69631,33.78048,39.89516,33.60426,33.2176,34.20215,37.95014,33.19971,30.76521,33.24348,33.36947,32.93344,33.7496,38.66722,36.37458,32.99527,32.80056,35.38017,39.49356,31.16832,0
42,36.50139369,36.83663997,34.40977279,33.23584501,35.40827872,32.60498455,34.94895721,31.35757337,31.56545,41.17953,35.7307,33.19031,36.61642,31.92299,33.42467,34.4881,32.13022,32.26697,32.27765,37.73952,39.06934,37.55218,35.25765,34.89661,33.91846,32.11493,33.73937,32.73182,32.88711,32.73028,40.58143,34.0974,33.61085,30.91756,36.74205,32.49355,32.74399,32.52824,32.14281,32.57248,34.4999,38.88016,35.11495,34.01316,32.37043,34.93594,39.48724,30.68011,1
43,36.2782924,36.96318557,32.74575497,34.62830147,35.09397636,34.61933815,35.07835261,32.04858305,34.03898,36.98456,34.66999,31.33706,38.00481,32.98295,34.44152,34.65388,32.74965,36.14214,32.74297,36.17426,37.53683,35.55743,35.59419,32.11174,33.45388,31.75301,33.75347,32.67199,33.94408,33.89033,39.01966,34.03372,33.93179,33.09723,35.13166,31.50154,30.93117,34.21175,31.34658,33.82452,33.90584,37.55104,37.26843,34.39162,32.82349,35.49249,39.71235,32.08039,1
